Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Cost Price,Sale Price,Discount Amount,Cost of Repairs,Total Sales per Employee,PC Market Price,Finance Amount,Credit Score,Channel,Priority,Payment Method,Storage Capacity,Storage Type,RAM,Purchase Date,Ship Date
Africa,Ghana,Upper East,XYZ Tech,4,Lenovo,ThinkPad X13 Yoga,Desiree,Garza,354-460-5679,carlos96@example.com,Kevin Lee,Returns,6466,9048,803,0,955,8823,0,685,Online,Low,Cash,500GB,SSD,16GB,7/6/2023,7/14/2023
Africa,Morocco,Kenitra,Jacks Hardware,6,Dell,Precision,Joshua,Adams,423-668-1647,fdaniels@example.org,Amy Owens,New Sales,24519,26768,201,0,983,26325,29024,782,Online,Medium,Finance,1TB,HDD,16GB,4/29/2023,5/21/2023
Africa,Tanzania,Mtwara,GH PC Shop,10,Microsoft,Surface Pro,Shane,Brown,(752)070-2331,melissa64@example.com,Mary Fisher,Repairs,23367,27513,232,4570,378,24109,0,423,Offline,Medium,Cash,1TB,HDD,4GB,8/12/2021,N/A
North America,Pennsylvania,Johnstown,A & A PCs,9,Asus,ROG Zephyrus S GX701,Logan,Perez,(923)603-3333,gregory66@example.org,Julia Dodson,Second-hand Sales,21946,25723,203,0,661,23419,0,533,Offline,Medium,Bank Transfer,500GB,SSD,8GB,8/19/2022,N/A
Africa,Nigeria,Borno,ABC Computers,5,Asus,ProArt StudioBook Pro X,Kim,Love,1910929550,salinasshawn@example.net,Timothy Leach,Second-hand Sales,26724,31139,150,0,822,28481,0,446,Offline,Low,Cash,256GB,HDD,16GB,9/29/2021,N/A
Africa,Tanzania,Mwanza,Ricks Computers,8,Toshiba,Qosmio,Ryan,Curtis,016.137.8479,gregory28@example.net,David Osborn,Returns,5318,7653,6,0,876,7199,0,715,Offline,High,Cash,256GB,HDD,4GB,12/14/2023,N/A
North America,Ohio,Westerville,A & A PCs,10,Acer,Predator Triton 500,Sharon,Pena,497.727.4314x534,cookjoshua@example.net,Jason Gentry,Repairs,18832,21802,201,3346,132,19928,28027,405,Offline,Low,Finance,256GB,SSD,4GB,5/6/2023,N/A
Africa,South Africa,Gauteng,KyaSand Tech Gadgets,8,Lenovo,ThinkPad T14,Nathaniel,Marshall,+1-542-502-1275x57882,ostewart@example.com,Mrs. Barbara Davenport,Second-hand Sales,6885,8948,383,0,472,7482,0,529,Online,High,Bank Transfer,500GB,HDD,2GB,8/8/2023,9/5/2023
Africa,Nigeria,Sokoto,DEF Machines,9,Asus,VivoBook S14,Christopher,Hill,001-627-047-3808x4582,joshuahernandez@example.org,Lisa Morgan,Returns,10024,13841,632,0,491,12728,0,782,Offline,Medium,Bank Transfer,500GB,SSD,16GB,8/4/2021,N/A
Africa,Kenya,Nyeri,S & A Computer Place,5,Toshiba,Qosmio,Elizabeth,Melton,729.437.2339,grossmelissa@example.org,David Ellis,Returns,22022,24788,909,0,97,24685,0,623,Offline,Low,Cash,500GB,HDD,16GB,2/10/2022,N/A
Africa,South Africa,Northern Cape,Jacks Hardware,3,MSI,GE76 Raider,Allison,Smith,(297)164-2241x912,fcole@example.com,Mary Nelson,New Sales,18788,21357,338,0,982,20287,0,642,Offline,Low,Cash,256GB,SSD,2GB,5/4/2023,N/A
North America,North Carolina,Morganton,GH PC Shop,9,MSI,GE76 Raider,Tara,Marks,4931322286,sanchezchristian@example.com,Morgan Moore,New Sales,14307,17436,941,0,319,15616,0,609,Online,Medium,Bank Transfer,500GB,SSD,16GB,4/20/2023,5/20/2023
Africa,Angola,Huila,GHI Machines,9,HP,Probook,David,Moon,001-478-678-3296,snyderjacqueline@example.com,Cassidy Mason,Second-hand Sales,29677,32562,725,0,198,29708,44142,532,Online,High,Finance,500GB,HDD,16GB,12/5/2022,12/27/2022
Africa,Ethiopia,Afar,Jacks Hardware,1,Lenovo,ThinkPad T14,Pamela,Martin,396.536.2013x61043,mcgeecatherine@example.com,Alexa Hopkins,Returns,20561,24439,73,0,521,23280,2896,616,Offline,Medium,Finance,1TB,HDD,16GB,12/1/2023,N/A
Africa,Morocco,Azilal,S & A Computer Place,4,MSI,Alpha 15,Kyle,Harmon,253-644-9959x52009,josephvasquez@example.net,Emma Scott,Returns,28098,31040,901,0,671,29696,0,580,Online,Medium,Bank Transfer,500GB,HDD,4GB,12/19/2023,1/7/2024
North America,North Carolina,Havelock,LJ Computers,6,Apple,Apple Mac Pro,Christopher,Campos,001-867-181-4348x6593,ysanchez@example.net,Tony Valenzuela,Returns,6881,11746,62,0,682,8064,0,418,Online,Medium,Cash,1TB,SSD,2GB,9/12/2021,9/15/2021
North America,Texas,Abilene,A & A PCs,2,Lenovo,Legion 5,John,Reyes,189228254,jessica62@example.com,Diana Rodriguez,New Sales,18701,22222,318,0,523,22000,5823,761,Online,Low,Finance,1TB,SSD,2GB,2/13/2023,2/23/2023
Africa,Botswana,Central,Western International PCs,2,Samsung,Notebook 5,Vanessa,Boyd,363.814.2384,nicolegonzalez@example.com,Melissa Dunn,Second-hand Sales,11714,13926,515,0,671,12532,47675,706,Offline,High,Finance,256GB,HDD,4GB,8/1/2022,N/A
Africa,Tanzania,Manyara,DEF Machines,2,Dell,Precision,Shannon,Freeman,524-471-5326x826,lyoung@example.org,Jennifer Morales,Repairs,9261,14136,410,4931,557,10948,0,760,Online,Low,Bank Transfer,1TB,SSD,16GB,5/26/2023,6/18/2023
Africa,Kenya,Siaya,Jacks Hardware,9,HP,Elitebook,Cathy,Price,740-532-2618,lbryan@example.net,Tonya Nolan,New Sales,17758,22498,112,0,816,20454,0,728,Online,Low,Cash,256GB,HDD,16GB,1/2/2024,1/30/2024
Africa,Nigeria,Zamfara,GH PC Shop,4,HP,Spectre,Robert,Wood,+1-437-479-3301x31977,anthony69@example.com,Diana Waters,Second-hand Sales,26343,28768,333,0,807,27529,0,440,Offline,Low,Bank Transfer,500GB,HDD,16GB,4/15/2021,N/A
Africa,Kenya,Bungoma,DEF Machines,4,Microsoft,Surface Hub,Richard,Frye,+1-382-726-8974x7448,portermonica@example.com,Amy Johnson,Repairs,28302,30373,520,2589,981,30011,0,595,Online,High,Bank Transfer,500GB,SSD,2GB,5/1/2022,5/7/2022
Africa,Angola,Benguela,DEF Machines,8,Microsoft,Surface Neo,Scott,Lawson,(710)273-3054x96921,samantha25@example.net,Cassidy Mason,New Sales,21491,25949,593,0,743,22822,0,496,Offline,High,Bank Transfer,500GB,HDD,4GB,12/11/2023,N/A
Africa,South Africa,Northern Cape,ABC Computers,3,Toshiba,Qosmio,Roberto,Murray,2216962432,joseph07@example.net,Pamela Zavala,Repairs,26025,29391,830,3516,722,28243,16614,473,Offline,Medium,Finance,1TB,SSD,2GB,10/26/2023,N/A
Africa,Nigeria,Borno,XYZ Tech,2,Acer,Predator Triton 500,Marc,Walker,+1-039-197-5976x92508,bobby21@example.org,Diana Waters,Returns,5202,9678,174,0,817,6184,41579,537,Offline,High,Finance,1TB,HDD,4GB,5/15/2023,N/A
Africa,Tanzania,Mara,CK Tech Store,3,Microsoft,Surface Pro,Cindy,Davis,4326458783,whitney58@example.net,Mary Fisher,New Sales,17782,21769,897,0,697,18410,0,678,Offline,Low,Bank Transfer,500GB,SSD,16GB,5/26/2022,N/A
North America,California,San Diego,LJ Computers,7,Asus,TUF Gaming A15,Jeff,Hamilton,(856)281-3635x3047,jessica96@example.net,Joy Holt,Repairs,20574,22717,951,1095,789,20581,0,545,Offline,Medium,Cash,1TB,HDD,4GB,8/6/2022,N/A
North America,Georgia,Douglasville,Greens Laptops and PCs,6,Acer,Aspire 7,Sharon,Massey,+1-134-873-8647x358,kimberly30@example.org,Michael Collins,New Sales,4317,8816,101,0,703,4400,0,782,Online,Medium,Cash,256GB,SSD,16GB,1/20/2022,2/13/2022
Africa,Nigeria,Yobe,XYZ Tech,5,MSI,GS66 Stealth,Benjamin,Mayer,2883270457,johnlin@example.org,Lisa Morgan,Returns,12863,15128,727,0,424,13600,0,789,Offline,Medium,Cash,1TB,SSD,8GB,3/15/2021,N/A
Africa,Morocco,Fahs Anjra,Western International PCs,4,Samsung,Notebook 9 Pro,Patrick,Owens,9718561441,parkserin@example.com,Amy Owens,Returns,8835,11009,506,0,87,9258,12253,798,Offline,Low,Finance,1TB,SSD,16GB,3/30/2022,N/A
North America,Michigan,East Lansing,CK Tech Store,3,HP,Envy,Ronnie,Fisher,430-954-2512,xsharp@example.org,Erika Larsen,Second-hand Sales,13588,16477,668,0,157,13931,0,567,Online,High,Bank Transfer,256GB,HDD,8GB,4/26/2023,5/26/2023
Africa,Nigeria,Niger,Mini Tech,6,Samsung,Galaxy Chromebook 2,Christina,Jackson,001-465-013-9160x807,kenneth60@example.net,Lisa Morgan,Returns,17133,19196,202,0,856,18358,0,504,Offline,High,Bank Transfer,256GB,HDD,16GB,6/20/2021,N/A
North America,California,Stockton,Western International PCs,4,Acer,Spin 5,Shaun,Sutton,970.304.7252,greenemelinda@example.com,Rachel Mitchell,Second-hand Sales,24024,27975,790,0,938,27712,0,544,Offline,High,Bank Transfer,1TB,HDD,16GB,5/22/2023,N/A
North America,Illinois,Berwyn,Jacks Hardware,8,Lenovo,IdeaCentre AIO 3,Christina,Warren,001-260-986-7951x90918,cathy71@example.net,Jason Phillips,New Sales,24764,28518,309,0,593,24785,0,618,Offline,Medium,Bank Transfer,256GB,SSD,2GB,12/25/2023,N/A
North America,California,Chula Vista,ABC Computers,8,MSI,GS66 Stealth,Kerry,Williams,142.837.2973,qjohnson@example.org,Alyssa Martinez,Repairs,7557,11725,14,3299,977,8998,0,429,Online,High,Cash,1TB,HDD,8GB,10/27/2023,11/26/2023
North America,Michigan,Royal Oak,A & A PCs,4,Apple,Apple iMac,Brenda,Hodge,(666)966-2420,christopherbennett@example.net,Allen Juarez,Returns,25977,29202,634,0,363,27854,21373,589,Offline,Medium,Finance,1TB,HDD,8GB,11/17/2022,N/A
Africa,Kenya,Nakuru,Jacks Hardware,4,Asus,ROG Strix Scar III,Erin,Williams,287.920.6275x7777,adrianjohnson@example.com,Kenneth Moore,New Sales,19361,21367,380,0,977,19877,0,740,Online,High,Bank Transfer,500GB,HDD,2GB,1/22/2022,2/6/2022
Africa,Tanzania,Pemba Kusini,Frankies Hardware and Software,6,Apple,Apple PowerBook G4,Christopher,Long,+1-838-470-0689x7919,sandovalrussell@example.org,Alicia Evans,New Sales,17109,20011,699,0,306,19402,0,778,Online,High,Cash,256GB,SSD,16GB,10/7/2022,10/26/2022
North America,Florida,Hialeah,Ricks Computers,2,Microsoft,Surface Book,Elizabeth,Becker,826-331-4982,vmitchell@example.com,Alexis Murray,Second-hand Sales,20756,22946,179,0,321,22856,0,518,Online,Medium,Bank Transfer,500GB,SSD,4GB,6/19/2022,7/8/2022
North America,California,Irvine,KyaSand Tech Gadgets,10,Samsung,Notebook Odyssey,Pamela,Mcneil,655-774-3937x780,petersontammy@example.com,Larry Smith,Second-hand Sales,10910,14333,729,0,101,12247,17276,544,Offline,Medium,Finance,500GB,HDD,2GB,6/16/2021,N/A
Africa,Morocco,Ouezzane,LJ Computers,4,Dell,Precision,Grant,Robertson,181965151,melissawood@example.net,Gina Day,Second-hand Sales,15191,18781,84,0,825,18164,0,740,Offline,High,Bank Transfer,256GB,SSD,4GB,4/17/2023,N/A
Africa,South Africa,Gauteng,Greens Laptops and PCs,9,Asus,ZenBook Flip S UX371,Lisa,Kaiser,(298)656-7674,meganwolfe@example.net,Mary Nelson,Returns,6794,10781,688,0,143,10101,37658,428,Offline,High,Finance,500GB,SSD,4GB,6/1/2021,N/A
North America,Illinois,Orland Park,ABC Computers,8,Lenovo,ThinkPad T14,Jennifer,Roach,(080)276-3367x495,joshualawrence@example.net,Glenda Cohen,Repairs,25958,29343,121,2046,434,27024,0,657,Online,High,Cash,500GB,HDD,16GB,11/8/2021,12/7/2021
Africa,Nigeria,Ondo,Ricks Computers,10,HP,Spectre,Lisa,Lynn,(652)783-8113x942,grace35@example.org,Mary Shaw,New Sales,16949,19423,51,0,733,18827,18995,817,Offline,Low,Finance,500GB,HDD,4GB,12/16/2021,N/A
North America,Illinois,Berwyn,GH PC Shop,6,Asus,VivoBook S14,Patricia,Roberts,674.737.0858,ryanchristopher@example.org,Daniel Serrano,Repairs,28751,30808,618,4951,247,29698,11175,761,Online,Medium,Finance,256GB,HDD,4GB,7/11/2022,7/13/2022
Africa,Kenya,Tharaka-Nithi,DEF Machines,3,Apple,Apple Macintosh Classic,Kimberly,Peters,(100)703-7041,pennycobb@example.net,Cassandra Mcmillan,Repairs,15261,19210,971,1815,736,17590,0,785,Online,Medium,Bank Transfer,256GB,HDD,2GB,1/1/2023,1/5/2023
Africa,Botswana,Ghanzi,Greens Laptops and PCs,9,Lenovo,ThinkCentre M920 Tiny,Angela,Brown,(566)426-0077,wellsangela@example.org,Sarah Riley,Repairs,17334,22130,297,4934,130,21342,0,689,Online,Low,Bank Transfer,256GB,SSD,4GB,2/1/2023,2/22/2023
Africa,Ghana,Northern,Ricks Computers,2,Asus,VivoBook S14,Brooke,Jones,(832)592-6431,gina83@example.net,Troy Howell,New Sales,21520,26144,631,0,370,24367,0,815,Online,Low,Bank Transfer,256GB,HDD,16GB,10/27/2023,11/20/2023
North America,Illinois,Waukegan,ABC Computers,5,Asus,ExpertBook B9,Nichole,May,+1-594-718-8830x555,johnsonjeffrey@example.org,Ashley Jones,Second-hand Sales,11127,15831,20,0,432,13309,18443,522,Online,Medium,Finance,1TB,SSD,8GB,5/10/2021,5/16/2021
Africa,Kenya,Kitui,ABC Computers,3,MSI,Alpha 15,Nicholas,Alexander,001-555-339-7850x168,anthony38@example.net,Kenneth Moore,Returns,13849,16865,938,0,969,16161,0,516,Offline,Low,Cash,1TB,HDD,4GB,10/1/2023,N/A
North America,California,Fresno,CK Tech Store,10,Toshiba,Dynabook,Matthew,Smith,7182073394,john84@example.com,Joe Black,Returns,24130,27031,909,0,668,26663,0,497,Online,Low,Cash,256GB,SSD,2GB,10/19/2023,11/8/2023
North America,North Carolina,Gastonia,Benjis Tech,9,Acer,Chromebook Spin 311,Madeline,Armstrong,870.710.3196x3586,michael26@example.net,Craig Wheeler,New Sales,19746,23575,141,0,546,21275,34519,431,Offline,Medium,Finance,500GB,HDD,2GB,6/1/2021,N/A
North America,North Carolina,Salisbury,Greens Laptops and PCs,4,Microsoft,Surface Pro,Carolyn,Carter,(714)403-0106x45431,gking@example.org,Brittany Franklin,New Sales,25966,30237,78,0,153,28403,5254,809,Offline,Medium,Finance,1TB,HDD,2GB,11/18/2023,N/A
Africa,Angola,Namibe,GH PC Shop,7,Samsung,Galaxy Chromebook 2,Michael,Espinoza,7106609566,wagnerjimmy@example.net,Hector Robertson,Returns,25099,28049,978,0,191,25475,25441,572,Offline,Low,Finance,500GB,HDD,4GB,7/4/2022,N/A
North America,North Carolina,Concord,Jacks Hardware,2,Asus,ROG Zephyrus S GX701,Patrick,Green,5189869136,peckanthony@example.org,Brady Walton,Second-hand Sales,18280,22734,949,0,26,21566,12154,548,Online,Medium,Finance,500GB,HDD,4GB,3/3/2024,3/10/2024
North America,Illinois,Arlington Heights,Jacks Hardware,4,Acer,Aspire E 15,Amber,Goodwin,430.286.3788x5154,wrightpatrick@example.net,Kathleen Robinson,Second-hand Sales,12228,14807,718,0,436,12942,0,613,Offline,High,Bank Transfer,256GB,HDD,16GB,2/3/2024,N/A
Africa,Ghana,Central,ABC Computers,5,Samsung,Notebook 9,Timothy,Brown,773-182-3791x46259,jillsampson@example.com,Jonathan Miller,New Sales,21440,25392,39,0,520,23006,49235,628,Online,High,Finance,256GB,SSD,4GB,3/7/2023,3/21/2023
North America,California,San Bernardino,GH PC Shop,1,Lenovo,ThinkPad P15s,Charles,Davis,566-410-8863x77590,rebeccaadams@example.com,Sean Rodriguez,New Sales,11092,14853,973,0,676,13664,23344,784,Online,Medium,Finance,1TB,SSD,4GB,6/2/2023,6/9/2023
North America,Illinois,Arlington Heights,KyaSand Tech Gadgets,2,MSI,GP65 Leopard,Amy,Gomez,001-068-214-0596x5278,connerkeith@example.com,Amanda Mitchell,New Sales,27622,32021,886,0,162,28996,0,651,Offline,Medium,Cash,1TB,HDD,2GB,7/21/2023,N/A
Africa,Ethiopia,"Southern Nations, Nationalities, and Peoples Region (SNNPR)",LJ Computers,7,Toshiba,Dynabook,Steven,Pham,459.191.1321,sullivanjames@example.org,Michael Summers,Second-hand Sales,11821,15554,168,0,823,13995,37332,516,Online,High,Finance,500GB,HDD,2GB,1/8/2022,1/27/2022
Africa,Botswana,Kweneng,A & A PCs,7,HP,Stream,Beth,Russell,(757)341-5077x26550,gvaughn@example.org,Michael Byrd,New Sales,13832,16760,324,0,488,15241,0,689,Offline,Medium,Cash,1TB,HDD,2GB,8/8/2021,N/A
Africa,South Africa,Northern Cape,ABC Computers,6,Microsoft,Surface Book,Courtney,Johnson,808.186.0221x1465,dianafischer@example.org,Carol Smith,Repairs,13214,16078,850,1140,817,13588,0,667,Offline,High,Bank Transfer,256GB,HDD,16GB,8/8/2023,N/A
Africa,Ghana,Western,XYZ Tech,3,Dell,Venue,Matthew,Thomas,(407)856-6803x0870,jcooper@example.org,Amanda Hurley,New Sales,20746,24938,298,0,669,21980,0,741,Offline,Low,Cash,256GB,SSD,16GB,8/17/2023,N/A
Africa,Morocco,Guelmim,XYZ Tech,10,Toshiba,Satellite,Aaron,Spencer,107-106-9029x9115,stacey97@example.org,Kelly Mitchell,Repairs,8839,13271,704,3891,317,12164,0,568,Offline,Low,Bank Transfer,1TB,SSD,8GB,4/6/2022,N/A
North America,New York,Mount Vernon,ABC Computers,7,Acer,ConceptD 5,Steven,Alexander,001-915-147-5305,zadams@example.net,Kelsey Olson,Repairs,20990,25255,411,4717,123,25220,0,451,Online,Low,Bank Transfer,1TB,HDD,2GB,1/1/2023,1/31/2023
Africa,Ghana,Volta,A & A PCs,8,MSI,P65 Creator,Cameron,Jones,-6747,phillip03@example.net,Kevin Lee,Second-hand Sales,22176,26293,234,0,47,25546,0,520,Offline,Low,Bank Transfer,256GB,SSD,2GB,10/17/2023,N/A
Africa,Kenya,Makueni,S & A Computer Place,10,Acer,Spin 5,Ralph,Rodriguez,001-907-369-6538x9469,joseroth@example.net,Christopher Santos,New Sales,20865,24690,915,0,694,23277,10464,671,Online,Medium,Finance,1TB,SSD,4GB,12/12/2021,1/4/2022
North America,New York,Binghamton,CK Tech Store,3,Dell,G Series,Renee,Cooper,+1-192-343-3369x9179,gdavis@example.net,Natalie Jimenez,New Sales,16136,18675,859,0,613,18288,0,725,Online,Medium,Cash,256GB,HDD,8GB,2/22/2023,3/17/2023
Africa,Angola,Cuando Cubango,CK Tech Store,9,Apple,Apple iMac,Nicole,Payne,413-198-7204x0804,earl63@example.org,Hector Robertson,Returns,11762,15876,923,0,825,12605,0,509,Online,Medium,Cash,500GB,SSD,2GB,12/18/2023,1/12/2024
North America,California,San Jose,XYZ Tech,3,Apple,Apple Mac Pro,Christopher,Daniels,(643)104-8462,mellis@example.net,Sean Rodriguez,Second-hand Sales,7121,10387,394,0,772,8390,0,621,Online,Medium,Bank Transfer,256GB,SSD,2GB,6/28/2022,7/24/2022
North America,Pennsylvania,Lebanon,Mini Tech,8,Microsoft,Surface Laptop,Wanda,Cook,001-002-225-3366x0722,robertbarnes@example.com,Julia Dodson,Returns,3601,6262,997,0,971,5977,29919,465,Online,High,Finance,256GB,HDD,2GB,6/6/2021,6/18/2021
North America,California,San Jose,DEF Machines,4,Dell,Vostro,Dylan,Henry,401.414.4447,bailey23@example.com,Andrew Miranda,Returns,22149,26540,733,0,324,24313,0,645,Offline,Low,Cash,500GB,SSD,8GB,10/26/2021,N/A
North America,Georgia,Macon,Frankies Hardware and Software,7,Acer,Predator Helios 300,Debra,Bryant,+1-987-688-0384x967,maryhumphrey@example.net,Rebecca Brown,New Sales,23823,28231,779,0,413,27083,0,609,Offline,Low,Bank Transfer,256GB,SSD,16GB,4/26/2023,N/A
Africa,Egypt,Matrouh,LJ Computers,1,Lenovo,ThinkPad X13 Yoga,Rita,Chapman,(705)174-7371,hammondjulie@example.org,Michael Gibson,New Sales,12847,14930,705,0,759,14149,46356,761,Offline,Medium,Finance,500GB,HDD,4GB,9/28/2023,N/A
North America,Florida,Davie,GH PC Shop,3,HP,Stream,Willie,Reeves,-7323,marysmith@example.org,William Macdonald,Returns,20012,23066,415,0,174,20606,0,498,Online,Low,Cash,500GB,HDD,16GB,7/8/2021,7/15/2021
North America,New York,Syracuse,Frankies Hardware and Software,8,Asus,ROG Strix Scar III,Mason,Santiago,886.158.7356x9754,macdonaldmary@example.net,Kelsey Olson,Returns,3913,8584,316,0,98,6082,0,652,Online,Medium,Bank Transfer,1TB,HDD,8GB,4/11/2023,4/30/2023
North America,Florida,West Palm Beach,A & A PCs,2,HP,Envy,Scott,Thompson,661-062-8359x59205,vrogers@example.org,Deborah Anderson MD,Second-hand Sales,24371,27551,15,0,252,26459,0,821,Online,Low,Cash,256GB,HDD,2GB,12/17/2023,12/24/2023
Africa,Tanzania,Tabora,Western International PCs,6,Microsoft,Surface Hub,Tommy,Thompson,(208)022-4444x1460,jamesdaniel@example.org,Corey Rasmussen,New Sales,26475,29974,906,0,914,28915,0,757,Online,High,Cash,1TB,HDD,2GB,2/10/2022,2/25/2022
North America,California,Modesto,Benjis Tech,3,Toshiba,Portege,Ashley,Conrad,353.269.9299x294,hfreeman@example.net,Larry Smith,Returns,14781,18883,841,0,429,18622,0,699,Online,High,Bank Transfer,1TB,HDD,4GB,10/16/2023,10/20/2023
Africa,Nigeria,Adamawa,XYZ Tech,7,Acer,Aspire E 15,Luis,Guerrero,763.599.8783x07753,evansbrenda@example.org,Timothy Leach,Repairs,12197,15158,770,2268,142,15079,7222,453,Online,Medium,Finance,256GB,SSD,2GB,8/30/2023,9/29/2023
Africa,Kenya,Taita-Taveta,ABC Computers,2,Dell,Alienware,Bradley,Mccall,-4947,jeffmurphy@example.org,Cassandra Mcmillan,Second-hand Sales,20189,22913,910,0,755,21466,0,765,Online,High,Bank Transfer,1TB,HDD,8GB,1/15/2022,2/2/2022
North America,North Carolina,Charlotte,S & A Computer Place,7,HP,Spectre,Jeffrey,Martinez,232-497-5709x60368,uallen@example.net,Robert Wood,Repairs,25555,30055,887,3741,173,25609,0,555,Online,Low,Bank Transfer,1TB,HDD,16GB,8/23/2021,8/25/2021
Africa,South Africa,Mpumalanga,Jacks Hardware,5,HP,Elitebook,Michael,Murray,+1-672-463-4891x88806,lbrown@example.org,Mrs. Barbara Davenport,Second-hand Sales,16881,20979,668,0,791,18146,14012,503,Online,High,Finance,1TB,SSD,16GB,1/9/2024,1/12/2024
Africa,Kenya,Migori,GH PC Shop,8,Acer,Predator Helios 300,Lisa,Stephens,+1-590-612-8328x7385,mortiz@example.net,Jeffrey Cook,New Sales,23040,26135,696,0,702,24992,0,727,Offline,High,Bank Transfer,1TB,SSD,2GB,3/16/2021,N/A
North America,Florida,Tallahassee,GH PC Shop,9,Toshiba,Libretto,Grant,Day,001-992-824-3817x1218,pcontreras@example.org,Raymond Larson,New Sales,14469,17833,331,0,130,17629,0,505,Offline,High,Cash,500GB,HDD,2GB,1/15/2023,N/A
Africa,Botswana,North-East,Frankies Hardware and Software,4,Apple,Apple Lisa,Kenneth,White,+1-021-674-7422x4082,candacegibson@example.com,Lisa Williams,Second-hand Sales,28966,32610,40,0,86,29256,27288,582,Online,High,Finance,256GB,HDD,4GB,11/8/2023,12/5/2023
North America,Ohio,Springfield,XYZ Tech,4,MSI,Alpha 15,Nancy,Smith,854.880.1176x56848,underwoodkatie@example.org,Diamond Baker,Returns,27582,31801,769,0,301,27723,48070,735,Online,Medium,Finance,500GB,SSD,2GB,11/23/2023,12/21/2023
North America,California,Anaheim,Jacks Hardware,10,MSI,Modern 15,Michelle,Hancock,001-255-153-8979,michael68@example.org,Andrew Miranda,New Sales,27749,31849,924,0,641,31848,0,765,Offline,Low,Bank Transfer,500GB,HDD,2GB,3/7/2022,N/A
North America,Michigan,Troy,Benjis Tech,10,MSI,Alpha 15,Jared,Shaw,(870)728-4319x79069,amandaleach@example.com,Casey Dunn,New Sales,4766,8559,154,0,281,7451,0,701,Online,Low,Cash,256GB,SSD,4GB,4/9/2023,5/6/2023
Africa,Kenya,Kisii,ABC Computers,3,Apple,Apple iMac,Justin,Hunt,599.017.9541,kevin25@example.org,David Ellis,Second-hand Sales,15695,18115,995,0,52,17199,0,624,Online,Low,Bank Transfer,1TB,SSD,8GB,12/9/2023,1/3/2024
